"Tree Level 1","Country-Code","Country","Direction","Partner-Code","Partner","Unit","Footnotes","Sources",_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by partner","KZ","Kazakhstan","FDI inflow","FI","Finland","EUR m","-","National Bank of Kazakhstan",0.5157625,-0.3042068,0.8603221,0.5736071,1.3917004,2.1261788,1.0333892,-0.9172193,22.4430389,1.2494114,3.1759932,-12.1542146,8.2756347,-2.432704,1.5347632,3.3363954,3.2182405,-2.7486787,1.191308
"FDI by partner","KZ","Kazakhstan","FDI inflow","FI","Finland","in % of total","-","National Bank of Kazakhstan, wiiw",0.0278199,-0.0090926,0.0543316,0.0114683,0.0171328,0.0218479,0.0108816,-0.0105448,0.2247213,0.0114533,0.0408778,-0.1902373,0.2261492,-0.0316173,0.0367834,0.1009811,0.1097077,-0.0851982,0.041784
"FDI by partner","KZ","Kazakhstan","FDI inflow","FR","France","EUR m","-","National Bank of Kazakhstan",136.1621981,205.0659749,622.0915928,631.6091644,713.2753359,729.1040256,875.7633217,920.466465,901.4719976,668.8746266,529.5417282,562.9598909,703.5372022,857.4956317,250.6939292,51.9124817,257.8808383,75.693777,-296.0210118
"FDI by partner","KZ","Kazakhstan","FDI inflow","FR","France","in % of total","-","National Bank of Kazakhstan, wiiw",7.3444967,6.1293541,39.286689,12.6279693,8.7809043,7.4920202,9.2218237,10.5821319,9.0264031,6.1315661,6.8156673,8.8114275,19.2256444,11.1446881,6.0083399,1.5712107,8.7909899,2.346208,-10.382663
"FDI by partner","KZ","Kazakhstan","FDI inflow","GE","Georgia","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,0.0120489,0.002155,.,3.1007149,-1.3094943,-29.150549,19.0594949,4.9406277,18.1738612,26.5989411,75.7498368,-2.7495625
"FDI by partner","KZ","Kazakhstan","FDI inflow","GE","Georgia","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,0.0001385,2.16E-5,.,0.0399089,-0.0204962,-0.7966005,0.2477122,0.1184112,0.5500597,0.9067406,2.3479456,-0.0964384
"FDI by partner","KZ","Kazakhstan","FDI inflow","DE","Germany","EUR m","-","National Bank of Kazakhstan",6.8050526,6.1404709,19.7641127,-641.5516879,59.9022939,104.9940946,76.276461,57.5988115,-57.4002466,127.6383395,139.7685436,100.2538323,-108.9589158,4.5084548,177.8395851,73.4498635,-135.2455981,-276.5417815,-24.9337634
"FDI by partner","KZ","Kazakhstan","FDI inflow","DE","Germany","in % of total","-","National Bank of Kazakhstan, wiiw",0.3670599,0.1835366,1.2481547,-12.8267534,0.737438,1.0788829,0.8031943,0.6621841,-0.5747464,1.1700592,1.798944,1.5691693,-2.9775332,0.0585954,4.2622519,2.2230725,-4.6104344,-8.5717024,-0.8745287
"FDI by partner","KZ","Kazakhstan","FDI inflow","GI","Gibraltar","EUR m","-","National Bank of Kazakhstan",0.1249528,-0.2261432,13.1257357,23.1155705,39.002679,88.8068679,29.7574509,18.289413,-0.5624588,0.4434399,-0.0542004,2.5392149,-6.1476402,-0.1003084,-0.1964922,-1.2291091,-0.6368597,-0.2689115,-0.7009186
"FDI by partner","KZ","Kazakhstan","FDI inflow","GI","Gibraltar","in % of total","-","National Bank of Kazakhstan, wiiw",0.0067399,-0.0067593,0.8289241,0.4621572,0.4801495,0.9125486,0.3133472,0.210264,-0.0056319,0.004065,-0.0006976,0.0397437,-0.1679973,-0.0013037,-0.0047093,-0.0372009,-0.0217101,-0.0083352,-0.0245841
"FDI by partner","KZ","Kazakhstan","FDI inflow","GR","Greece","EUR m","-","National Bank of Kazakhstan",.,.,-0.114067,-0.0924145,.,.,.,-0.0060244,.,-0.0015559,-0.0015056,.,-0.0027062,0.0099405,.,-0.5128352,-0.6029177,0.144529,-0.5926947
"FDI by partner","KZ","Kazakhstan","FDI inflow","GR","Greece","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,-0.0072036,-0.0018477,.,.,.,-6.93E-5,.,-1.43E-5,-1.94E-5,.,-7.4E-5,0.0001292,.,-0.0155217,-0.0205531,0.0044798,-0.0207882
"FDI by partner","KZ","Kazakhstan","FDI inflow","GG","Guernsey","EUR m","-","National Bank of Kazakhstan",.,.,.,-25.0084741,2.1215213,0.1060032,48.8016458,115.6848487,107.1839538,96.4248386,83.5160502,28.3069024,-7.4339989,-416.5074831,-29.3233601,-32.5323983,2.4456127,6.1096348,2.1501038
"FDI by partner","KZ","Kazakhstan","FDI inflow","GG","Guernsey","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,-0.5000026,0.0261174,0.0010893,0.5138833,1.3299695,1.0732286,0.8839254,1.0749249,0.4430586,-0.2031498,-5.4132591,-0.7027881,-0.9846428,0.0833693,0.1893745,0.0754129
"FDI by partner","KZ","Kazakhstan","FDI inflow","HK","Hong Kong","EUR m","-","National Bank of Kazakhstan",0.8622628,3.2770639,4.9032736,0.0868377,-0.6852572,1.8102079,-0.7350617,6.8113699,7.6962749,4.6008834,18.5448194,27.5625979,63.3689546,320.6822599,-549.8585849,-505.6351332,-1055.679361,354.7521149,-185.2674162
