"Tree Level 1","Country-Code","Country","Direction","Classification","Digit","Industry/Product","Unit","Footnotes","Sources",_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","S  Other service activities","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.3930838,0.6908364,0.618138,1.0799285,0.2862798,0.5624051,-0.1671384,0.3774901,0.0490885,-3.0824284,-10.3088365,-1.6909746
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","C  Manufacturing","EUR m","Equity + reinvestment of earnings + debt instruments - valid for all industries. From 2013 based on BPM6, directional principle. In 2011-2012 unrevised data.","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,1051.7779292,1363.7951499,901.9699753,165.4949167,325.8577375,-1507.5556117,147.7751655,303.1838059,-111.9093526,772.8054503,446.6183187,1617.1540433
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","C  Manufacturing","in % of total manufacturing","Equity + reinvestment of earnings + debt instruments - valid for all industries. From 2013 based on BPM6, directional principle. In 2011-2012 unrevised data.","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,100,100,100,100,100,100,100,100,100,100,100,100
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CA  Food products, beverages and tobacco products","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,1.4902931,29.3103516,104.6712647,129.716047,45.0285204,110.375471,-55.6222048,67.0711632,40.7887309,52.4970239,142.6767564,71.5444875
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CA  Food products, beverages and tobacco products","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.1416928,2.1491755,11.6047394,78.3806836,13.8184598,-7.3214859,-37.6397513,22.1222776,-36.448009,6.7930452,31.9460153,4.4240985
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CB  Textiles, apparel, leather, related products","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,10.563083,-0.3239705,-3.8532593,3.2113966,4.3272767,-2.7835234,15.1813472,0.0682324,-1.7907356,-1.3458641,-0.7152784,-0.0152021
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CB  Textiles, apparel, leather, related products","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,1.0043073,-0.0237551,-0.4272048,1.9404805,1.327965,0.1846382,10.2732737,0.0225053,1.6001662,-0.174153,-0.1601543,-0.0009401
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CC  Wood and paper products and printing","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,1.7177153,3.9637899,1.235408,11.7893561,3.805225,-2.6282853,2.3932946,20.7900056,5.0157823,7.7324682,5.4577916,-4.0428039
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CC  Wood and paper products and printing","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.1633154,0.2906441,0.1369678,7.1236968,1.1677565,0.1743409,1.6195513,6.8572283,-4.4820046,1.0005711,1.2220259,-0.249995
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CD  Coke and refined petroleum products","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,7.6713571,8.1703781,0.5033432,-95.1418265,49.2933628,103.4394175,258.5237084,92.2187458,143.924037,-10.7118372,2.7853716,183.9868827
