Tree Level 1,Country-Code,Country,Direction,Classification,Digit,Industry/Product,Unit,Footnotes,Sources,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,CL  Transport equipment,EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7683872,0.9011728,0.7916229,0.6319613,0.7137309,0.7154623,0.4055571,0.03382
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,CL  Transport equipment,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.53153,0.436622,-4.4986476,-0.6579885,-1.0306754,1.5292266,0.7815398,0.0207928
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CM  Other manufacturing, repair, install.of mach. & equip.",EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,.,.,.,0.3238131,0.093384,.,.,40.179651,156.5063795,7.3577549,7.9697583,-133.0450399,0.2029376,.,-0.5167436
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CM  Other manufacturing, repair, install.of mach. & equip.",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.018844,0.0170274,.,.,80.0850696,75.8279952,-41.8127704,-8.2979911,192.1259824,0.4337581,.,-0.3176981
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,Total by activities,EUR m,"Equity + reinvestment of earnings + debt instruments - valid for all activities. Based on BPM5, directional principle.",National Bank of Kazakhstan,.,.,.,-107.4744574,-1029.269272,-117.167675,-306.4719146,2303.525777,818.0257303,2265.569307,5901.653284,3254.362751,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,Total by activities,in % of total,"Equity + reinvestment of earnings + debt instruments - valid for all activities. Based on BPM5, directional principle.","National Bank of Kazakhstan, wiiw",.,.,.,100,100,100,100,100,100,100,100,100,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"A  Agriculture, hunting and forestry",EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,1.118981,0.7950832,8.9061523,-0.1916211,.,.,.,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"A  Agriculture, hunting and forestry",in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,-0.9550254,-0.259431,0.3866313,-0.0234248,.,.,.,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,C  Mining and quarrying,EUR m,-,National Bank of Kazakhstan,.,.,.,-109.6341023,-975.878562,109.0857884,33.7304891,181.203051,140.9577062,210.0017624,-122.0428804,561.5730613,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,C  Mining and quarrying,in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,102.0094495,94.8127558,-93.1022899,-11.0060621,7.8663349,17.2314514,9.2692712,-2.0679439,17.2560069,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,D  Manufacturing,EUR m,-,National Bank of Kazakhstan,.,.,.,2.32359,136.1236971,70.3399661,21.5915283,22.9371228,-43.3736404,61.1298862,1719.615993,525.3522967,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,D  Manufacturing,in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,-2.1619928,-13.2252755,-60.0335938,-7.0451899,0.9957398,-5.3022342,2.698213,29.1378688,16.1430159,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,F  Construction,EUR m,-,National Bank of Kazakhstan,.,.,.,1.007598,-238.9456006,-238.1638235,37.2788865,52.3045592,1.4752107,7.3391433,226.026029,10.6148829,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,F  Construction,in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,-0.9375232,23.2150718,203.2675168,-12.1638835,2.2706305,0.1803379,0.3239426,3.8298764,0.3261739,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"G  Wholesale, retail trade, repair of motor vehicles etc.",EUR m,-,National Bank of Kazakhstan,.,.,.,1.8822674,22.1708824,-9.3775911,74.0550701,457.0607267,-66.2268352,940.2199898,137.0188575,1206.062459,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"G  Wholesale, retail trade, repair of motor vehicles etc.",in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,-1.7513626,-2.154041,8.0035651,-24.1637379,19.8417891,-8.0959355,41.5003852,2.3217029,37.0598655,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,H  Hotels and restaurants,EUR m,-,National Bank of Kazakhstan,.,.,.,.,4.8286796,4.2574296,1.2746825,15.4847678,0.0679507,.,.,-0.1759928,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,H  Hotels and restaurants,in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,-0.4691367,-3.6336213,-0.4159215,0.6722203,0.0083067,.,.,-0.0054079,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"I  Transport, storage and communication",EUR m,-,National Bank of Kazakhstan,.,.,.,0.2055961,1.3560542,-125.3997766,-332.1854474,47.9877308,248.6820617,70.3292736,-341.770369,263.7543739,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"I  Transport, storage and communication",in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,-0.1912976,-0.1317492,107.0259153,108.3901759,2.0832296,30.4002738,3.1042649,-5.7910954,8.1046397,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,J  Financial intermediation,EUR m,-,National Bank of Kazakhstan,.,.,.,4.6090739,13.1227416,33.3637887,108.7806083,643.6610915,578.9199672,41.3814664,-46.6923361,27.3658102,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,J  Financial intermediation,in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,-4.2885296,-1.2749571,-28.4752503,-35.4944787,27.9424306,70.770386,1.8265372,-0.7911738,0.8408961,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"K  Real estate, renting and business activities",EUR m,-,National Bank of Kazakhstan,.,.,.,-9.6594703,7.924668,37.6573662,-278.9778096,678.2906897,-352.0324277,890.9070279,4290.820403,641.3459496,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"K  Real estate, renting and business activities",in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,8.9876893,-0.7699315,-32.139723,91.0288337,29.4457608,-43.0343955,39.3237596,72.7053962,19.7072668,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"M-N  Education, health and social work",EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,-0.0562302,0.1904057,2.8937142,0.2697645,1.3238283,1.1160255,0.3196605,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,"M-N  Education, health and social work",in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,0.0479912,-0.0621283,0.1256211,0.0329775,0.0584325,0.0189104,0.0098225,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,Other not elsewhere classified activities (A-Q),EUR m,-,National Bank of Kazakhstan,.,.,.,1.7395909,0.0836971,.,27.0073356,192.7925186,309.5156462,42.9605941,37.561561,18.1516867,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 1-letter,Other not elsewhere classified activities (A-Q),in % of total,-,"National Bank of Kazakhstan, wiiw",.,.,.,-1.6186087,-0.0081317,.,-8.8123362,8.3694535,37.8369084,1.8962384,0.6364583,0.5577647,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,D  Manufacturing,EUR m,"Equity + reinvestment of earnings + debt instruments - valid for all industries. Based on BPM5, directional principle.",National Bank of Kazakhstan,.,.,.,2.32359,136.1236971,70.3399661,21.5915283,22.9371228,-43.3736404,61.1298862,1719.615993,525.3522967,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,D  Manufacturing,in % of total manufacturing,"Equity + reinvestment of earnings + debt instruments - valid for all industries. Based on BPM5, directional principle.","National Bank of Kazakhstan, wiiw",.,.,.,100,100,100,100,100,100,100,100,100,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DA  Food products, beverages and tobacco",EUR m,-,National Bank of Kazakhstan,.,.,.,1.6447685,8.5910258,8.6658774,69.2821808,9.3320638,0.504874,24.8658839,-0.0594912,57.1854635,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DA  Food products, beverages and tobacco",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,70.7856593,6.3111905,12.3199909,320.8766875,40.6854159,-1.1640111,40.677131,-0.0034596,10.8851648,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DB  Textiles and textile products,EUR m,-,National Bank of Kazakhstan,.,.,.,.,0.0836971,.,.,0.0584441,0.6095182,.,-0.5512352,0.0897923,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DB  Textiles and textile products,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,0.0614861,.,.,0.2548014,-1.4052733,.,-0.0320557,0.0170918,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DD-DE  Wood, pulp, paper, publishing",EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,3.1215795,5.258862,0.4295642,3.4444233,-0.6669341,0.0692809,-0.204008,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DD-DE  Wood, pulp, paper, publishing",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,4.4378462,24.356136,1.8727903,-7.9412825,-1.0910115,0.0040289,-0.0388326,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DF  Coke, refined petroleum products and nuclear fuel",EUR m,-,National Bank of Kazakhstan,.,.,.,.,0.6744056,.,2.2776983,-0.0920495,5.376263,-2.322078,2.5121868,-0.2542917,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DF  Coke, refined petroleum products and nuclear fuel",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,0.4954359,.,10.549037,-0.4013123,-12.3952312,-3.798597,0.14609,-0.048404,.,.,.,.,.,.,.,.,.,.
